0001001	Dome Real Angle
002704C	Balancer EMER Stop
002704D	Balancer DPA Alarm
002704E	Balancer Total Fan Alarm
002704F	Balancer Fault
0027050	TCSPU1/4(Cs) Fault on BLCU
0027051	Balancer-Torque Alarm on BLCU
0027052	Balancer Normal Mode
0027053	Balancer Test Mode
0027054	Balancer Test Pattern
0027055	Balancer Test Result
0028001	Tip-Tilt Chopping Frequency ANS
0028002	Tip-Tilt Chopping Amplitude ANS
0028003	Tip-Tilt Position ANS
0028004	Tip-Tilt - Offset
0028005	Tip-Tilt No Offset
0028006	Tip-Tilt + Offset
0028007	Tip-Tilt Drive On
0028008	Tip-Tilt Drive Off
0028009	Tip-Tilt AZ Traverse Angle
002800A	Tip-Tilt EL Angle
002800B	Tip-Tilt Chopping Mode
002800C	Tip-Tilt Tip-Tilt Mode
002800D	Tip-Tilt MAINT Mode
002800E	Tip-Tilt SM EMA1A Fault
002800F	Tip-Tilt SM EMA1B Fault
0028010	Tip-Tilt SM EMA2A Fault
0028011	Tip-Tilt SM EMA2B Fault
0028012	Tip-Tilt SM EMA3A Fault
0028013	Tip-Tilt SM EMA3B Fault
0028014	Tip-Tilt SM EMA4A Fault
0028015	Tip-Tilt SM EMA4B Fault
0028016	Tip-Tilt SM EMA5A Fault
0028017	Tip-Tilt SM EMA5B Fault
0028018	Tip-Tilt SM EMA6A Fault
0028019	Tip-Tilt SM EMA6B Fault
002801A	Tip-Tilt SM Sensor1 Alarm
002801B	Tip-Tilt SM Sensor2 Alarm
002801C	Tip-Tilt SM Sensor3 Alarm
002801D	Tip-Tilt RC Sensor1 Alarm
002801E	Tip-Tilt RC Sensor2 Alarm
002801F	Tip-Tilt RC Sensor3 Alarm
0028020	Tip-Tilt DSP1 Fault
0028021	Tip-Tilt DSP2 Fault
0028022	Tip-Tilt DSP3 Fault
0028023	Tip-Tilt DSP4 Fault
0028024	Tip-Tilt Local
0028025	Tip-Tilt Chopping Mode Bias ANS
0028026	Tip-Tilt Chopping Start Ready
0028027	TSC Fault IND on TTCU
0028028	TSC COMP PWR Fault DET ANS
0028029	Tip-Tilt Position Mode
002802A	Tip-Tilt Drive On RDY
002802B	MLP1 - Tip-Tilt Alarm
002802C	Tip-Tilt EXT CLK Alarm
002802D	Tip-Tilt Fault
002802E	Tip-Tilt EMER Stop
002802F	Tip-Tilt Total Fan Alarm
0028030	Tip-Tilt Service Interruput
0028031	Tip-Tilt Not IR Selected
0028032	Tip-Tilt CsIR Selected
0028033	Tip-Tilt NsIR Selected
0028034	Tip-Tilt NsIR(ImR) Selected
0028035	Tip-Tilt RC EMA1A Fault
0028036	Tip-Tilt RC EMA1B Fault
0028037	Tip-Tilt RC EMA2A Fault
0028038	Tip-Tilt RC EMA2B Fault
0028039	Tip-Tilt RC EMA3A Fault
002803A	Tip-Tilt RC EMA3B Fault
002803B	Tip-Tilt RC EMA4A Fault
002803C	Tip-Tilt RC EMA4B Fault
002803D	Tip-Tilt RC EMA5A Fault
002803E	Tip-Tilt RC EMA5B Fault
002803F	Tip-Tilt RC EMA6A Fault
0028040	Tip-Tilt RC EMA6B Fault
0028041	MLP1 DSP - Tip-Tilt DSP1 Alarm
0028042	MLP1 DSP - Tip-Tilt DSP2 Alarm
0028043	MLP1 DSP - Tip-Tilt DSP3 Alarm
0028044	MLP1 DSP - Tip-Tilt DSP4 Alarm
0028045	Tip-Tilt Data Available
0028046	Tip-Tilt EL SYNC Ready
0028047	Chopping SYNC Signal INT Selected
0028048	Chopping SYNC Signal EXT Selected
0028049	TTCU Drive Safety
002804A	UPS1 Alarm(Tip-Tilt IND)
002804B	Tip-Tilt DPA1 Alarm
002804C	Tip-Tilt DPA2 Alarm
002804D	Tip-Tilt SM1 S/W Limit+
002804E	Tip-Tilt SM2 S/W Limit+
002804F	Tip-Tilt SM3 S/W Limit+
0028050	Tip-Tilt SM1 S/W Limit-
0028051	Tip-Tilt SM2 S/W Limit-
0028052	Tip-Tilt SM3 S/W Limit-
0028053	Tip-Tilt RC1 S/W Limit+
0028054	Tip-Tilt RC2 S/W Limit+
0028055	Tip-Tilt RC3 S/W Limit+
0028056	Tip-Tilt RC1 S/W Limit-
0028057	Tip-Tilt RC2 S/W Limit-
0028058	Tip-Tilt RC3 S/W Limit-
0028059	Tip-Tilt SM Z Velocity Limit
002805A	Tip-Tilt RC Z Velocity Limit
002805B	Tip-Tilt X Real Angle
002805C	Tip-Tilt Y Real Angle
002805D	Tip-Tilt X CMD Angle
002805E	Tip-Tilt Y CMD Angle
002805F	Tip-Tilt Z(SM) CMD Position
0028060	Tip-Tilt Z(RC) CMD Position
0028061	Tip-Tilt Z(SM) Real Position
0028062	Tip-Tilt Z(RC) Real Position
0028063	Chopping Pattern1 Selected
0028064	Chopping Pattern2 Selected
0028065	Chopping Pattern3 Selected
0028066	Chopping Start
0028067	Chopping Stop
0028068	Chopping SYNC Signal EXT Ready
0028069	Tip-Tilt NsIR(AO) Selected
0029001	Hydrostatic Temperature(Axis)
0029002	Hydrostatic Temperature(Pier)
0029003	Hydrostatic Return Pump1 Driving
0029004	Hydrostatic Return Pump2 Driving
0029005	Hydrostatic Supply Pump1 Driving
0029006	Hydrostatic Supply Pump2 Driving
0029007	Hydrostatic Control Warning
0029008	Hydrostatic Control Alarm
0029009	Hydrostatic Power Fault
002900A	Hydrostatic Driving
002900B	Hydrostatic Temp Sensor Alarm
002900C	Hydrostatic Temperature CMD ANS
002A001	Roof(R) AVG WVEL Alarm
002A002	Roof(R) AVG WVEL NORM
002A003	Roof(R) AVG WVEL VAR
002A004	Roof(R) AVG WVEL Over RNG
002A005	Roof(R) AVG WVEL Skip
002A006	Roof(R) AVG WVEL Up LIM
002A007	Roof(R) AVG WVEL DN LIM
002A008	Roof(R) AVG WVEL VAR Up LIM
002A009	Roof(R) AVG WVEL VAR DN LIM
002A00A	Roof(R) AVG WVEL RT Up
002A00B	Roof(R) AVG WVEL RT DN
002A00C	Roof(R) AVG WVEL Data
002A00D	Roof(R) INST WVEL Alarm
002A00E	Roof(R) INST WVEL NORM
002A00F	Roof(R) INST WVEL VAR
002A010	Roof(R) INST WVEL Over RNG
002A011	Roof(R) INST WVEL Skip
002A012	Roof(R) INST WVEL Up LIM
002A013	Roof(R) INST WVEL DN LIM
002A014	Roof(R) INST WVEL VAR Up LIM
002A015	Roof(R) INST WVEL VAR DN LIM
002A016	Roof(R) INST WVEL RT Up
002A017	Roof(R) INST WVEL RT DN
002A018	Roof(R) INST WVEL Data
002A019	Roof(R) WDIR Alarm
002A01A	Roof(R) WDIR NORM
002A01B	Roof(R) WDIR VAR
002A01C	Roof(R) WDIR Over RNG
002A01D	Roof(R) WDIR Skip
002A01E	Roof(R) WDIR Up LIM
002A01F	Roof(R) WDIR DN LIM
002A020	Roof(R) WDIR VAR Up LIM
002A021	Roof(R) WDIR VAR DN LIM
002A022	Roof(R) WDIR RT Up
002A023	Roof(R) WDIR RT DN
002A024	Roof(R) WDIR Data
002A025	Roof Opt(F) AVG WVEL Alarm
002A026	Roof Opt(F) AVG WVEL NORM
002A027	Roof Opt(F) AVG WVEL VAR
002A028	Roof Opt(F) AVG WVEL Over RNG
002A029	Roof Opt(F) AVG WVEL Skip
002A02A	Roof Opt(F) AVG WVEL Up LIM
002A02B	Roof Opt(F) AVG WVEL DN LIM
002A02C	Roof Opt(F) AVG WVEL VAR Up LIM
002A02D	Roof Opt(F) AVG WVEL VAR DN LIM
002A02E	Roof Opt(F) AVG WVEL RT Up
002A02F	Roof Opt(F) AVG WVEL RT DN
002A030	Roof Opt(F) AVG WVEL Data
002A031	Roof Opt(F) INST WVEL Alarm
002A032	Roof Opt(F) INST WVEL NORM
002A033	Roof Opt(F) INST WVEL VAR
002A034	Roof Opt(F) INST WVEL Over RNG
002A035	Roof Opt(F) INST WVEL Skip
002A036	Roof Opt(F) INST WVEL Up LIM
002A037	Roof Opt(F) INST WVEL DN LIM
002A038	Roof Opt(F) INST WVEL VAR Up LIM
002A039	Roof Opt(F) INST WVEL VAR DN LIM
002A03A	Roof Opt(F) INST WVEL RT Up
002A03B	Roof Opt(F) INST WVEL RT DN
002A03C	Roof Opt(F) INST WVEL Data
002A03D	Roof Opt(F) WDIR Alarm
002A03E	Roof Opt(F) WDIR NORM
002A03F	Roof Opt(F) WDIR VAR
002A040	Roof Opt(F) WDIR Over RNG
002A041	Roof Opt(F) WDIR Skip
002A042	Roof Opt(F) WDIR Up LIM
002A043	Roof Opt(F) WDIR DN LIM
002A044	Roof Opt(F) WDIR VAR Up LIM
002A045	Roof Opt(F) WDIR VAR DN LIM
002A046	Roof Opt(F) WDIR RT Up
002A047	Roof Opt(F) WDIR RT DN
002A048	Roof Opt(F) WDIR Data
002A049	Roof IR(F) AVG WVEL Alarm
002A04A	Roof IR(F) AVG WVEL NORM
002A04B	Roof IR(F) AVG WVEL VAR
002A04C	Roof IR(F) AVG WVEL Over RNG
002A04D	Roof IR(F) AVG WVEL Skip
002A04E	Roof IR(F) AVG WVEL Up LIM
002A04F	Roof IR(F) AVG WVEL DN LIM
002A050	Roof IR(F) AVG WVEL VAR Up LIM
002A051	Roof IR(F) AVG WVEL VAR DN LIM
002A052	Roof IR(F) AVG WVEL RT Up
002A053	Roof IR(F) AVG WVEL RT DN
002A054	Roof IR(F) AVG WVEL Data
002A055	Roof IR(F) INST WVEL Alarm
002A056	Roof IR(F) INST WVEL NORM
002A057	Roof IR(F) INST WVEL VAR
002A058	Roof IR(F) INST WVEL Over RNG
002A059	Roof IR(F) INST WVEL Skip
002A05A	Roof IR(F) INST WVEL Up LIM
002A05B	Roof IR(F) INST WVEL DN LIM
002A05C	Roof IR(F) INST WVEL VAR Up LIM
002A05D	Roof IR(F) INST WVEL VAR DN LIM
002A05E	Roof IR(F) INST WVEL RT Up
002A05F	Roof IR(F) INST WVEL RT DN
002A060	Roof IR(F) INST WVEL Data
002A061	Roof IR(F) WDIR Alarm
002A062	Roof IR(F) WDIR NORM
002A063	Roof IR(F) WDIR VAR
002A064	Roof IR(F) WDIR Over RNG
002A065	Roof IR(F) WDIR Skip
002A066	Roof IR(F) WDIR Up LIM
002A067	Roof IR(F) WDIR DN LIM
002A068	Roof IR(F) WDIR VAR Up LIM
002A069	Roof IR(F) WDIR VAR DN LIM
002A06A	Roof IR(F) WDIR RT Up
002A06B	Roof IR(F) WDIR RT DN
002A06C	Roof IR(F) WDIR Data
002A06D	Front V WDIR Alarm
002A06E	Front V WDIR NORM
002A06F	Front V WDIR VAR
002A070	Front V WDIR Over RNG
002A071	Front V WDIR Skip
002A072	Front V WDIR Up LIM
002A073	Front V WDIR DN LIM
002A074	Front V WDIR VAR Up LIM
002A075	Front V WDIR VAR DN LIM
002A076	Front V WDIR RT Up
002A077	Front V WDIR RT DN
002A078	Front V WDIR Data
002A079	Ns FL Rear V1 WDIR Alarm
002A07A	Ns FL Rear V1 WDIR NORM
002A07B	Ns FL Rear V1 WDIR VAR
002A07C	Ns FL Rear V1 WDIR Over RNG
002A07D	Ns FL Rear V1 WDIR Skip
002A07E	Ns FL Rear V1 WDIR Up LIM
002A07F	Ns FL Rear V1 WDIR DN LIM
002A080	Ns FL Rear V1 WDIR VAR Up LIM
002A081	Ns FL Rear V1 WDIR VAR DN LIM
002A082	Ns FL Rear V1 WDIR RT Up
002A083	Ns FL Rear V1 WDIR RT DN
002A084	Ns FL Rear V1 WDIR Data
002A085	Ns FL Side VA WDIR Alarm
002A086	Ns FL Side VA WDIR NORM
002A087	Ns FL Side VA WDIR VAR
002A088	Ns FL Side VA WDIR Over RNG
002A089	Ns FL Side VA WDIR Skip
002A08A	Ns FL Side VA WDIR Up LIM
002A08B	Ns FL Side VA WDIR DN LIM
002A08C	Ns FL Side VA WDIR VAR Up LIM
002A08D	Ns FL Side VA WDIR VAR DN LIM
002A08E	Ns FL Side VA WDIR RT Up
002A08F	Ns FL Side VA WDIR RT DN
002A090	Ns FL Side VA WDIR Data
002A091	Ns FL Side VB WDIR Alarm
002A092	Ns FL Side VB WDIR NORM
002A093	Ns FL Side VB WDIR VAR
002A094	Ns FL Side VB WDIR Over RNG
002A095	Ns FL Side VB WDIR Skip
002A096	Ns FL Side VB WDIR Up LIM
002A097	Ns FL Side VB WDIR DN LIM
002A098	Ns FL Side VB WDIR VAR Up LIM
002A099	Ns FL Side VB WDIR VAR DN LIM
002A09A	Ns FL Side VB WDIR RT Up
002A09B	Ns FL Side VB WDIR RT DN
002A09C	Ns FL Side VB WDIR Data
002A09D	Ns FL Side VC WDIR Alarm
002A09E	Ns FL Side VC WDIR NORM
002A09F	Ns FL Side VC WDIR VAR
002A0A0	Ns FL Side VC WDIR Over RNG
002A0A1	Ns FL Side VC WDIR Skip
002A0A2	Ns FL Side VC WDIR Up LIM
002A0A3	Ns FL Side VC WDIR DN LIM
002A0A4	Ns FL Side VC WDIR VAR Up LIM
002A0A5	Ns FL Side VC WDIR VAR DN LIM
002A0A6	Ns FL Side VC WDIR RT Up
002A0A7	Ns FL Side VC WDIR RT DN
002A0A8	Ns FL Side VC WDIR Data
002A0A9	Ns FL Side VD WDIR Alarm
002A0AA	Ns FL Side VD WDIR NORM
002A0AB	Ns FL Side VD WDIR VAR
002A0AC	Ns FL Side VD WDIR Over RNG
002A0AD	Ns FL Side VD WDIR Skip
002A0AE	Ns FL Side VD WDIR Up LIM
002A0AF	Ns FL Side VD WDIR DN LIM
002A0B0	Ns FL Side VD WDIR VAR Up LIM
002A0B1	Ns FL Side VD WDIR VAR DN LIM
002A0B2	Ns FL Side VD WDIR RT Up
002A0B3	Ns FL Side VD WDIR RT DN
002A0B4	Ns FL Side VD WDIR Data
002A0B5	TLSCP Room(NsIR) HMD Alarm
002A0B6	TLSCP Room(NsIR) HMD NORM
002A0B7	TLSCP Room(NsIR) HMD VAR
002A0B8	TLSCP Room(NsIR) HMD Over RNG
002A0B9	TLSCP Room(NsIR) HMD Skip
002A0BA	TLSCP Room(NsIR) HMD Up LIM
002A0BB	TLSCP Room(NsIR) HMD DN LIM
002A0BC	TLSCP Room(NsIR) HMD VAR Up LIM
002A0BD	TLSCP Room(NsIR) HMD VAR DN LIM
002A0BE	TLSCP Room(NsIR) HMD RT Up
002A0BF	TLSCP Room(NsIR) HMD RT DN
002A0C0	TLSCP Room(NsIR) HMD Data
002A0C1	TLSCP Room HMD Alarm
002A0C2	TLSCP Room HMD NORM
002A0C3	TLSCP Room HMD VAR
002A0C4	TLSCP Room HMD Over RNG
002A0C5	TLSCP Room HMD Skip
002A0C6	TLSCP Room HMD Up LIM
002A0C7	TLSCP Room HMD DN LIM
002A0C8	TLSCP Room HMD VAR Up LIM
002A0C9	TLSCP Room HMD VAR DN LIM
002A0CA	TLSCP Room HMD RT Up
002A0CB	TLSCP Room HMD RT DN
002A0CC	TLSCP Room HMD Data
002A0CD	TLSCP Room(NsOpt) HMD Alarm
002A0CE	TLSCP Room(NsOpt) HMD NORM
002A0CF	TLSCP Room(NsOpt) HMD VAR
002A0D0	TLSCP Room(NsOpt) HMD Over RNG
002A0D1	TLSCP Room(NsOpt) HMD Skip
002A0D2	TLSCP Room(NsOpt) HMD Up LIM
002A0D3	TLSCP Room(NsOpt) HMD DN LIM
002A0D4	TLSCP Room(NsOpt) HMD VAR Up LIM
002A0D5	TLSCP Room(NsOpt) HMD VAR DN LIM
002A0D6	TLSCP Room(NsOpt) HMD RT Up
002A0D7	TLSCP Room(NsOpt) HMD RT DN
002A0D8	TLSCP Room(NsOpt) HMD Data
002A0D9	Top Unit EXCH HMD Alarm
002A0DA	Top Unit EXCH HMD NORM
002A0DB	Top Unit EXCH HMD VAR
002A0DC	Top Unit EXCH HMD Over RNG
002A0DD	Top Unit EXCH HMD Skip
002A0DE	Top Unit EXCH HMD Up LIM
002A0DF	Top Unit EXCH HMD DN LIM
002A0E0	Top Unit EXCH HMD VAR Up LIM
002A0E1	Top Unit EXCH HMD VAR DN LIM
002A0E2	Top Unit EXCH HMD RT Up
002A0E3	Top Unit EXCH HMD RT DN
002A0E4	Top Unit EXCH HMD Data
002A0E5	Front V WVEL Alarm
002A0E6	Front V WVEL NORM
002A0E7	Front V WVEL VAR
002A0E8	Front V WVEL Over RNG
002A0E9	Front V WVEL Skip
002A0EA	Front V WVEL Up LIM
002A0EB	Front V WVEL DN LIM
002A0EC	Front V WVEL VAR Up LIM
002A0ED	Front V WVEL VAR DN LIM
002A0EE	Front V WVEL RT Up
002A0EF	Front V WVEL RT DN
002A0F0	Front V WVEL Data
002A0F1	Ns FL Rear V1 WVEL Alarm
002A0F2	Ns FL Rear V1 WVEL NORM
002A0F3	Ns FL Rear V1 WVEL VAR
002A0F4	Ns FL Rear V1 WVEL Over RNG
002A0F5	Ns FL Rear V1 WVEL Skip
002A0F6	Ns FL Rear V1 WVEL Up LIM
002A0F7	Ns FL Rear V1 WVEL DN LIM
002A0F8	Ns FL Rear V1 WVEL VAR Up LIM
002A0F9	Ns FL Rear V1 WVEL VAR DN LIM
002A0FA	Ns FL Rear V1 WVEL RT Up
002A0FB	Ns FL Rear V1 WVEL RT DN
002A0FC	Ns FL Rear V WVEL Data
002A0FD	Ns FL Side VA WVEL Alarm 1
002A0FE	Ns FL Side VA WVEL NORM 1
002A0FF	Ns FL Side VA WVEL VAR 1
002A100	Ns FL Side VA WVEL Over RNG 1
002A101	Ns FL Side VA WVEL Skip 1
002A102	Ns FL Side VA WVEL Up LIM 1
002A103	Ns FL Side VA WVEL DN LIM 1
002A104	Ns FL Side VA WVEL VAR Up LIM 1
002A105	Ns FL Side VA WVEL VAR DN LIM 1
002A106	Ns FL Side VA WVEL RT Up 1
002A107	Ns FL Side VA WVEL RT DN 1
002A108	Ns FL Side VA WVEL Data 1
002A109	Ns FL Side VB WVEL Alarm 1
002A10A	Ns FL Side VB WVEL NORM 1
002A10B	Ns FL Side VB WVEL VAR 1
002A10C	Ns FL Side VB WVEL Over RNG 1
002A10D	Ns FL Side VB WVEL Skip 1
002A10E	Ns FL Side VB WVEL Up LIM 1
002A10F	Ns FL Side VB WVEL DN LIM 1
002A110	Ns FL Side VB WVEL VAR Up LIM 1
002A111	Ns FL Side VB WVEL VAR DN LIM 1
002A112	Ns FL Side VB WVEL RT Up 1
002A113	Ns FL Side VB WVEL RT DN 1
002A114	Ns FL Side VB WVEL Data 1
002A115	Ns FL Side VC WVEL Alarm 1
002A116	Ns FL Side VC WVEL NORM 1
002A117	Ns FL Side VC WVEL VAR 1
002A118	Ns FL Side VC WVEL Over RNG 1
002A119	Ns FL Side VC WVEL Skip 1
002A11A	Ns FL Side VC WVEL Up LIM 1
002A11B	Ns FL Side VC WVEL DN LIM 1
002A11C	Ns FL Side VC WVEL VAR Up LIM 1
002A11D	Ns FL Side VC WVEL VAR DN LIM 1
002A11E	Ns FL Side VC WVEL RT Up 1
002A11F	Ns FL Side VC WVEL RT DN 1
002A120	Ns FL Side VC WVEL Data 1
002A121	Ns FL Side VD WVEL Alarm 1
002A122	Ns FL Side VD WVEL NORM 1
002A123	Ns FL Side VD WVEL VAR 1
002A124	Ns FL Side VD WVEL Over RNG 1
002A125	Ns FL Side VD WVEL Skip 1
002A126	Ns FL Side VD WVEL Up LIM 1
002A127	Ns FL Side VD WVEL DN LIM 1
002A128	Ns FL Side VD WVEL VAR Up LIM 1
002A129	Ns FL Side VD WVEL VAR DN LIM 1
002A12A	Ns FL Side VD WVEL RT Up 1
002A12B	Ns FL Side VD WVEL RT DN 1
002A12C	Ns FL Side VD WVEL Data 1
002A12D	Ns FL Rear V WVEL Alarm 2
002A12E	Ns FL Rear V WVEL NORM 2
002A12F	Ns FL Rear V WVEL VAR 2
002A130	Ns FL Rear V WVEL Over RNG 2
002A131	Ns FL Rear V WVEL Skip 2
002A132	Ns FL Rear V WVEL Up LIM 2
002A133	Ns FL Rear V WVEL DN LIM 2
002A134	Ns FL Rear V WVEL VAR Up LIM 2
002A135	Ns FL Rear V WVEL VAR DN LIM 2
002A136	Ns FL Rear V WVEL RT Up 2
002A137	Ns FL Rear V WVEL RT DN 2
002A138	Ns FL Rear V WVEL Data 2
002A139	Ns FL Side VA WVEL Alarm 2
002A13A	Ns FL Side VA WVEL NORM 2
002A13B	Ns FL Side VA WVEL VAR 2
002A13C	Ns FL Side VA WVEL Over RNG 2
002A13D	Ns FL Side VA WVEL Skip 2
002A13E	Ns FL Side VA WVEL Up LIM 2
002A13F	Ns FL Side VA WVEL DN LIM 2
002A140	Ns FL Side VA WVEL VAR Up LIM 2
002A141	Ns FL Side VA WVEL VAR DN LIM 2
002A142	Ns FL Side VA WVEL RT Up 2
002A143	Ns FL Side VA WVEL RT DN 2
002A144	Ns FL Side VA WVEL Data 2
002A145	Ns FL Side VB WVEL Alarm 2
002A146	Ns FL Side VB WVEL NORM 2
002A147	Ns FL Side VB WVEL VAR 2
002A148	Ns FL Side VB WVEL Over RNG 2
002A149	Ns FL Side VB WVEL Skip 2
002A14A	Ns FL Side VB WVEL Up LIM 2
002A14B	Ns FL Side VB WVEL DN LIM 2
002A14C	Ns FL Side VB WVEL VAR Up LIM 2
002A14D	Ns FL Side VB WVEL VAR DN LIM 2
002A14E	Ns FL Side VB WVEL RT Up 2
002A14F	Ns FL Side VB WVEL RT DN 2
002A150	Ns FL Side VB WVEL Data 2
002A151	Ns FL Side VC WVEL Alarm 2
002A152	Ns FL Side VC WVEL NORM 2
002A153	Ns FL Side VC WVEL VAR 2
002A154	Ns FL Side VC WVEL Over RNG 2
002A155	Ns FL Side VC WVEL Skip 2
002A156	Ns FL Side VC WVEL Up LIM 2
002A157	Ns FL Side VC WVEL DN LIM 2
002A158	Ns FL Side VC WVEL VAR Up LIM 2
002A159	Ns FL Side VC WVEL VAR DN LIM 2
002A15A	Ns FL Side VC WVEL RT Up 2
002A15B	Ns FL Side VC WVEL RT DN 2
002A15C	Ns FL Side VC WVEL Data 2
002A15D	Ns FL Side VD WVEL Alarm 2
002A15E	Ns FL Side VD WVEL NORM 2
002A15F	Ns FL Side VD WVEL VAR 2
002A160	Ns FL Side VD WVEL Over RNG 2
002A161	Ns FL Side VD WVEL Skip 2
002A162	Ns FL Side VD WVEL Up LIM 2
002A163	Ns FL Side VD WVEL DN LIM 2
002A164	Ns FL Side VD WVEL VAR Up LIM 2
002A165	Ns FL Side VD WVEL VAR DN LIM 2
002A166	Ns FL Side VD WVEL RT Up 2
002A167	Ns FL Side VD WVEL RT DN 2
002A168	Ns FL Side VD WVEL Data 2
002A169	TEFL Rear V WVEL Alarm 1
002A16A	TEFL Rear V WVEL NORM 1
002A16B	TEFL Rear V WVEL VAR 1
002A16C	TEFL Rear V WVEL Over RNG 1
002A16D	TEFL Rear V WVEL Skip 1
002A16E	TEFL Rear V WVEL Up LIM 1
002A16F	TEFL Rear V WVEL DN LIM 1
002A170	TEFL Rear V WVEL VAR Up LIM 1
002A171	TEFL Rear V WVEL VAR DN LIM 1
002A172	TEFL Rear V WVEL RT Up 1
002A173	TEFL Rear V WVEL RT DN 1
002A174	Top FL Rear V WVEL Data 1
002A175	Top FL Rear V WVEL Alarm 2
002A176	Top FL Rear V WVEL NORM 2
002A177	Top FL Rear V WVEL VAR 2
002A178	Top FL Rear V WVEL Over RNG 2
002A179	Top FL Rear V WVEL Skip 2
002A17A	Top FL Rear V WVEL Up LIM 2
002A17B	Top FL Rear V WVEL DN LIM 2
002A17C	Top FL Rear V WVEL VAR Up LIM 2
002A17D	Top FL Rear V WVEL VAR DN LIM 2
002A17E	Top FL Rear V WVEL RT Up 2
002A17F	Top FL Rear V WVEL RT DN 2
002A180	Top FL Rear V WVEL Data 2
002A181	Top FL Side VA WVEL Alarm 1
002A182	Top FL Side VA WVEL NORM 1
002A183	Top FL Side VA WVEL VAR 1
002A184	Top FL Side VA WVEL Over RNG 1
002A185	Top FL Side VA WVEL Skip 1
002A186	Top FL Side VA WVEL Up LIM 1
002A187	Top FL Side VA WVEL DN LIM 1
002A188	Top FL Side VA WVEL VAR Up LIM 1
002A189	Top FL Side VA WVEL VAR DN LIM 1
002A18A	Top FL Side VA WVEL RT Up 1
002A18B	Top FL Side VA WVEL RT DN 1
002A18C	Top FL Side VA WVEL Data 1
002A18D	Top FL Side VA WVEL Alarm 2
002A18E	Top FL Side VA WVEL NORM 2
002A18F	Top FL Side VA WVEL VAR 2
002A190	Top FL Side VA WVEL Over RNG 2
002A191	Top FL Side VA WVEL Skip 2
002A192	Top FL Side VA WVEL Up LIM 2
002A193	Top FL Side VA WVEL DN LIM 2
002A194	Top FL Side VA WVEL VAR Up LIM 2
002A195	Top FL Side VA WVEL VAR DN LIM 2
002A196	Top FL Side VA WVEL RT Up 2
002A197	Top FL Side VA WVEL RT DN 2
002A198	Top FL Side VA WVEL Data 2
002A199	Top FL Side VB WVEL Alarm 1
002A19A	Top FL Side VB WVEL NORM 1
002A19B	Top FL Side VB WVEL VAR 1
002A19C	Top FL Side VB WVEL Over RNG 1
002A19D	Top FL Side VB WVEL Skip 1
002A19E	Top FL Side VB WVEL Up LIM 1
002A19F	Top FL Side VB WVEL DN LIM 1
002A1A0	Top FL Side VB WVEL VAR Up LIM 1
002A1A1	Top FL Side VB WVEL VAR DN LIM 1
002A1A2	Top FL Side VB WVEL RT Up 1
002A1A3	Top FL Side VB WVEL RT DN 1
002A1A4	Top FL Side VB WVEL Data 1
002A1A5	Top FL Side VB WVEL Alarm 2
002A1A6	Top FL Side VB WVEL NORM 2
002A1A7	Top FL Side VB WVEL VAR 2
002A1A8	Top FL Side VB WVEL Over RNG 2
002A1A9	Top FL Side VB WVEL Skip 2
002A1AA	Top FL Side VB WVEL Up LIM 2
002A1AB	Top FL Side VB WVEL DN LIM 2
002A1AC	Top FL Side VB WVEL VAR Up LIM 2
002A1AD	Top FL Side VB WVEL VAR DN LIM 2
002A1AE	Top FL Side VB WVEL RT Up 2
002A1AF	Top FL Side VB WVEL RT DN 2
002A1B0	Top FL Side VB WVEL Data 2
002A1B1	Top FL Side VC WVEL Alarm 1
002A1B2	Top FL Side VC WVEL NORM 1
002A1B3	Top FL Side VC WVEL VAR 1
002A1B4	Top FL Side VC WVEL Over RNG 1
002A1B5	Top FL Side VC WVEL Skip 1
002A1B6	Top FL Side VC WVEL Up LIM 1
002A1B7	Top FL Side VC WVEL DN LIM 1
002A1B8	Top FL Side VC WVEL VAR Up LIM 1
002A1B9	Top FL Side VC WVEL VAR DN LIM 1
002A1BA	Top FL Side VC WVEL RT Up 1
002A1BB	Top FL Side VC WVEL RT DN 1
002A1BC	Top FL Side VC WVEL Data 1
002A1BD	Top FL Side VC WVEL Alarm 2
002A1BE	Top FL Side VC WVEL NORM 2
002A1BF	Top FL Side VC WVEL VAR 2
002A1C0	Top FL Side VC WVEL Over RNG 2
002A1C1	Top FL Side VC WVEL Skip 2
002A1C2	Top FL Side VC WVEL Up LIM 2
002A1C3	Top FL Side VC WVEL DN LIM 2
002A1C4	Top FL Side VC WVEL VAR Up LIM 2
002A1C5	Top FL Side VC WVEL VAR DN LIM 2
002A1C6	Top FL Side VC WVEL RT Up 2
002A1C7	Top FL Side VC WVEL RT DN 2
002A1C8	Top FL Side VC WVEL Data 2
002A1C9	Top FL Side VD WVEL Alarm 1
002A1CA	Top FL Side VD WVEL NORM 1
002A1CB	Top FL Side VD WVEL VAR 1
002A1CC	Top FL Side VD WVEL Over RNG 1
002A1CD	Top FL Side VD WVEL Skip 1
002A1CE	Top FL Side VD WVEL Up LIM 1
002A1CF	Top FL Side VD WVEL DN LIM 1
002A1D0	Top FL Side VD WVEL VAR Up LIM 1
002A1D1	Top FL Side VD WVEL VAR DN LIM 1
002A1D2	Top FL Side VD WVEL RT Up 1
002A1D3	Top FL Side VD WVEL RT DN 1
002A1D4	Top FL Side VD WVEL Data 1
